#separator:tab
#html:true
#tags column:4
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">是 (shì) — verbe copule</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>是 = être. Négation : 不是. Question : 是…吗 ? ou A是不是B ?<br><br><b>Exemples :</b><br>• 我是法国人。<br><small>wǒ <span class=""t4"">shì</span> <span class=""t3"">Fǎ</span><span class=""t2"">guó</span><span class=""t2"">rén</span>。</small><br><i>Je suis français(e).</i><br><br>• 她不是老师，是医生。<br><small><span class=""t1"">tā</span> <span class=""t4"">bù</span> <span class=""t4"">shì</span> <span class=""t3"">lǎo</span><span class=""t1"">shī</span>…</small><br><i>Elle n'est pas professeure, elle est médecin.</i><br><br>• 你是学生吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span> <span class=""t0"">ma</span>？</small><br><i>Es-tu étudiant(e) ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">有 (yǒu) — avoir / il y a</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>有 = avoir (possession) ou il y a (existence). Négation : 没有 (jamais 不有).<br><br><b>Exemples :</b><br>• 我有一个姐姐。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">yǒu</span> <span class=""t2"">yī</span> <span class=""t0"">ge</span> <span class=""t3"">jiě</span><span class=""t0"">jie</span>。</small><br><i>J'ai une grande sœur.</i><br><br>• 这里没有厕所。<br><small><span class=""t4"">zhè</span><span class=""t3"">lǐ</span> <span class=""t2"">méi</span><span class=""t3"">yǒu</span> <span class=""t4"">cè</span><span class=""t3"">suǒ</span>。</small><br><i>Il n'y a pas de toilettes ici.</i><br><br>• 桌子上有一本书。<br><small><span class=""t1"">zhuō</span><span class=""t0"">zi</span> <span class=""t4"">shàng</span> <span class=""t3"">yǒu</span>…</small><br><i>Il y a un livre sur la table.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">很 + adjectif (prédicat)</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>很 neutralise l'implication comparative d'un adjectif prédicat. Sans 很, l'adjectif implique une comparaison. À l'écrit, 很 peut être omis dans les structures comparatives explicites.<br><br><b>Exemples :</b><br>• 她很漂亮。<br><small><span class=""t1"">tā</span> <span class=""t3"">hěn</span> <span class=""t4"">piào</span><span class=""t0"">liang</span>。</small><br><i>Elle est belle.</i><br><br>• 今天很冷。<br><small><span class=""t1"">jīn</span><span class=""t1"">tiān</span> <span class=""t3"">hěn</span> <span class=""t3"">lěng</span>。</small><br><i>Il fait froid aujourd'hui.</i><br><br>• 这道菜很辣。<br><small><span class=""t4"">zhè</span> <span class=""t4"">dào</span> <span class=""t4"">cài</span> <span class=""t3"">hěn</span> <span class=""t4"">là</span>。</small><br><i>Ce plat est épicé.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">也 (yě) — aussi / également</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>也 se place après le sujet et avant le verbe. Ne jamais mettre 也 en fin de phrase.<br><br><b>Exemples :</b><br>• 我也喜欢吃饺子。<br><small><span class=""t3"">wǒ</span> <span class=""t3"">yě</span> <span class=""t3"">xǐ</span><span class=""t0"">huān</span> <span class=""t1"">chī</span> <span class=""t3"">jiǎo</span><span class=""t0"">zi</span>。</small><br><i>Moi aussi j'aime manger des raviolis.</i><br><br>• 她也不知道。<br><small><span class=""t1"">tā</span> <span class=""t3"">yě</span> <span class=""t1"">bù</span> <span class=""t1"">zhī</span><span class=""t4"">dào</span>。</small><br><i>Elle non plus ne sait pas.</i><br><br>• 他也来了。<br><small><span class=""t1"">tā</span> <span class=""t3"">yě</span> <span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>Lui aussi est venu.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">都 (dōu) — tous / tout</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>都 se place avant le verbe et après le sujet pluriel. Il résume ce qui précède.<br><br><b>Exemples :</b><br>• 我们都是学生。<br><small><span class=""t3"">wǒ</span><span class=""t0"">men</span> <span class=""t1"">dōu</span> <span class=""t4"">shì</span> <span class=""t2"">xué</span><span class=""t0"">sheng</span>。</small><br><i>Nous sommes tous étudiants.</i><br><br>• 他什么都吃。<br><small><span class=""t1"">tā</span> <span class=""t2"">shén</span><span class=""t0"">me</span> <span class=""t1"">dōu</span> <span class=""t1"">chī</span>。</small><br><i>Il mange tout.</i><br><br>• 大家都来了。<br><small><span class=""t4"">dà</span><span class=""t1"">jiā</span> <span class=""t1"">dōu</span> <span class=""t2"">lái</span> <span class=""t0"">le</span>。</small><br><i>Tout le monde est venu.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">在 (zài) — être à / se trouver à</span><br><br><small style=""color:#888"">HSK 1</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>在 + lieu = se trouver à. En début de phrase, 在 est préposition de lieu. Avant le verbe, il indique où l'action se passe.<br><br><b>Exemples :</b><br>• 他在家里。<br><small><span class=""t1"">tā</span> <span class=""t4"">zài</span> <span class=""t1"">jiā</span><span class=""t3"">lǐ</span>。</small><br><i>Il est à la maison.</i><br><br>• 她在图书馆学习。<br><small><span class=""t1"">tā</span> <span class=""t4"">zài</span> <span class=""t2"">tú</span><span class=""t1"">shū</span><span class=""t3"">guǎn</span> <span class=""t2"">xué</span><span class=""t2"">xí</span>。</small><br><i>Elle étudie à la bibliothèque.</i><br><br>• 猫在桌子下面。<br><small><span class=""t1"">māo</span> <span class=""t4"">zài</span> <span class=""t1"">zhuō</span><span class=""t0"">zi</span> <span class=""t4"">xià</span><span class=""t4"">miàn</span>。</small><br><i>Le chat est sous la table.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">不 vs 没 — deux négations</span><br><br><small style=""color:#888"">HSK 1-2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>不</b> = négation de volonté, habitude ou état général (futur ou présent).<br><b>没(有)</b> = négation d'un fait accompli ou de possession. ⚠ On ne dit jamais 不有.<br><br><b>Exemples :</b><br>• 他不喝咖啡（习惯）。<br><small>tā bù hē kāfēi</small><br><i>Il ne boit pas de café (habitude).</i><br><br>• 他昨天没来（事实）。<br><small>tā zuótiān méi lái</small><br><i>Il n'est pas venu hier (fait).</i><br><br>• 我没有时间（没有 = ne pas avoir）。<br><small>wǒ méiyǒu shíjiān</small><br><i>Je n'ai pas le temps.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">吗 / 吧 / 呢 / 啊 — particules interrogatives</span><br><br><small style=""color:#888"">HSK 1-2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br><b>吗</b> = question fermée (oui/non). <b>吧</b> = supposition/confirmation (n'est-ce pas ?). <b>呢</b> = et…alors / question de suite. <b>啊</b> = exclamation/insistance.<br><br><b>Exemples :</b><br>• 你吃饭了吗？<br><small>nǐ chī fàn le ma ?</small><br><i>Tu as mangé ?</i><br><br>• 他应该到了吧？<br><small>tā yīnggāi dào le ba ?</small><br><i>Il devrait être arrivé, non ?</i><br><br>• 我想喝茶。你呢？<br><small>wǒ xiǎng hē chá. nǐ ne ?</small><br><i>Je veux du thé. Et toi ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">了 (le) — marqueur d'accompli / changement d'état</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>了 après le verbe = action accomplie (V+了). 了 en fin de phrase = nouveau état de fait. Double 了 (V+了+durée+了) = durée continue jusqu'au présent.<br><br><b>Exemples :</b><br>• 他吃了三碗饭。<br><small><span class=""t1"">tā</span> <span class=""t1"">chī</span> <span class=""t0"">le</span> <span class=""t1"">sān</span> <span class=""t3"">wǎn</span> <span class=""t4"">fàn</span>。</small><br><i>Il a mangé trois bols de riz.</i><br><br>• 天黑了。<br><small><span class=""t1"">tiān</span> <span class=""t1"">hēi</span> <span class=""t0"">le</span>。</small><br><i>Il fait nuit (nouveau fait).</i><br><br>• 她学了三年了。<br><small><span class=""t1"">tā</span> <span class=""t2"">xué</span> <span class=""t0"">le</span> <span class=""t1"">sān</span> <span class=""t2"">nián</span> <span class=""t0"">le</span>。</small><br><i>Ça fait trois ans qu'elle étudie.</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">过 (guò) — marqueur d'expérience passée</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>V + 过 = avoir déjà fait (expérience de vie). Négation : 没 + V + 过. Question : V + 过 + 没有 ?<br><br><b>Exemples :</b><br>• 我去过北京。<br><small><span class=""t3"">wǒ</span> <span class=""t4"">qù</span> <span class=""t0"">guo</span> <span class=""t3"">Běi</span><span class=""t1"">jīng</span>。</small><br><i>Je suis déjà allé(e) à Pékin.</i><br><br>• 她没吃过榴莲。<br><small><span class=""t1"">tā</span> <span class=""t2"">méi</span> <span class=""t1"">chī</span> <span class=""t0"">guo</span> <span class=""t2"">liú</span><span class=""t2"">lián</span>。</small><br><i>Elle n'a jamais mangé de durian.</i><br><br>• 你看过这部电影吗？<br><small><span class=""t3"">nǐ</span> <span class=""t4"">kàn</span> <span class=""t0"">guo</span> <span class=""t4"">zhè</span> <span class=""t4"">bù</span> <span class=""t4"">diàn</span><span class=""t3"">yǐng</span> <span class=""t0"">ma</span>？</small><br><i>As-tu déjà vu ce film ?</i><br><br></div>"		grammaire deck_v2
"<b>Structure :</b><br><br><span style=""font-size:130%;color:#2980b9"">V + 着 (zhe) — continuité / état résultant</span><br><br><small style=""color:#888"">HSK 2</small>"	"<div class=""exemple-bloc"" style=""text-align:left""><b>Explication :</b><br>着 exprime une action ou état en cours qui sert de toile de fond. V1着 V2 = faire V2 tout en faisant V1.<br><br><b>Exemples :</b><br>• 门开着。<br><small><span class=""t2"">mén</span> <span class=""t1"">kāi</span> <span class=""t0"">zhe</span>。</small><br><i>La porte est (restée) ouverte.</i><br><br>• 她笑着说话。<br><small><span class=""t1"">tā</span> <span class=""t4"">xiào</span> <span class=""t0"">zhe</span> <span class=""t1"">shuō</span><span class=""t4"">huà</span>。</small><br><i>Elle parle en souriant.</i><br><br>• 他站着等你。<br><small><span class=""t1"">tā</span> <span class=""t4"">zhàn</span> <span class=""t0"">zhe</span> <span class=""t3"">děng</span> <span class=""t3"">nǐ</span>。</small><br><i>Il t'attend debout.</i><br><br></div>"		grammaire deck_v2
